"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Actinomyces_sp_ph3"	"BMI"	"BMI"	"BMI"	-0.183308117524931	-0.0678371329290489	0.092565792911688	0.286259519074225	1	0.490574525887843	0.999999999999999	NA	"abundance"	382	76
"Actinomyces_sp_ph3"	"Reads"	"Reads"	"Reads"	-0.2928898793661	-0.21119275545582	0.0655454444803567	0.280061410639862	1	0.280061410639862	0.999999999999999	NA	"abundance"	382	76
"Actinomyces_sp_S6_Spd3"	"BMI"	"BMI"	"BMI"	-0.200074631154769	-0.0678371329290489	0.118062541047905	0.327109107742907	1	0.547217847117453	0.999999999999999	NA	"abundance"	382	21
"Actinomyces_sp_S6_Spd3"	"Reads"	"Reads"	"Reads"	0.0129124359747003	-0.21119275545582	0.178661024241796	0.240384587004098	1	0.422984424339065	0.999999999999999	NA	"abundance"	382	21
"Acutalibacter_SGB14844"	"BMI"	"BMI"	"BMI"	-0.336862198435465	-0.0678371329290489	0.081246935338177	0.110648954009726	1	0.209054716996005	0.999999999999999	NA	"abundance"	382	6
"Acutalibacter_SGB14844"	"Reads"	"Reads"	"Reads"	-0.316029170540612	-0.21119275545582	0.0550201892896054	0.252293879455245	1	0.440935557299912	0.999999999999999	NA	"abundance"	382	6
"Acutalibacter_SGB72747"	"BMI"	"BMI"	"BMI"	-0.0728038857506615	-0.0678371329290489	0.243862854608274	0.984433189357426	1	0.201197492612432	0.999999999999999	NA	"abundance"	382	16
"Acutalibacter_SGB72747"	"Reads"	"Reads"	"Reads"	-0.16740754937679	-0.21119275545582	0.177692181598643	0.812678906135678	1	0.964910807793474	0.999999999999999	NA	"abundance"	382	16
"Acutalibacter_sp_LFL_21"	"BMI"	"BMI"	"BMI"	0.0130149075914387	-0.0678371329290489	0.12194585189243	0.547918766818345	1	0.609111840460615	0.999999999999999	NA	"abundance"	382	47
"Acutalibacter_sp_LFL_21"	"Reads"	"Reads"	"Reads"	-0.123132358344098	-0.21119275545582	0.101450044314403	0.419214105633612	1	0.375471525964512	0.999999999999999	NA	"abundance"	382	47
"Adlercreutzia_equolifaciens"	"BMI"	"BMI"	"BMI"	-0.0552512939120014	-0.0678371329290489	0.113166093848546	0.920239499076672	1	0.501392491158636	0.999999999999999	NA	"abundance"	382	170
"Adlercreutzia_equolifaciens"	"Reads"	"Reads"	"Reads"	-0.0209261371375161	-0.21119275545582	0.117759015607376	0.123942314832622	1	0.232522932259175	0.999999999999999	NA	"abundance"	382	170
"Adlercreutzia_SGB42953"	"Reads"	"Reads"	"Reads"	0.0961384446094686	-0.21119275545582	0.300197262928018	0.416169317959566	1	0.617158716702587	0.999999999999999	NA	"abundance"	382	5
"Adlercreutzia_SGB74491"	"BMI"	"BMI"	"BMI"	-0.0355885666288048	-0.0678371329290489	0.140121866699315	0.833228352002495	1	0.739288408077112	0.999999999999999	NA	"abundance"	382	21
"Adlercreutzia_SGB74491"	"Reads"	"Reads"	"Reads"	-0.313721745162665	-0.21119275545582	0.0827109119986141	0.277693013590514	1	0.478272617384046	0.999999999999999	NA	"abundance"	382	21
"Agathobacter_rectalis"	"BMI"	"BMI"	"BMI"	0.180186516554157	-0.0678371329290489	0.197802521640973	0.227512267383567	1	0.403262702957123	0.999999999999999	NA	"abundance"	382	269
"Agathobacter_rectalis"	"Reads"	"Reads"	"Reads"	-0.328506653980664	-0.21119275545582	0.219041279873276	0.597273293702633	1	0.0427908492340126	0.96068751672793	NA	"abundance"	382	269
"Agathobaculum_faecis"	"BMI"	"BMI"	"BMI"	-0.0176166141024777	-0.0678371329290489	0.0874349283973813	0.625415807418207	1	0.272184715889235	0.999999999999999	NA	"abundance"	382	166
"Agathobaculum_faecis"	"Reads"	"Reads"	"Reads"	-0.123666919992469	-0.21119275545582	0.0641756371735906	0.235762843049998	1	0.128206326489585	0.999999999999999	NA	"abundance"	382	166
"Agathobaculum_SGB14990"	"BMI"	"BMI"	"BMI"	-0.0904496950338373	-0.0678371329290489	0.119855891123473	0.865569938978632	1	0.144456969349839	0.999999999999999	NA	"abundance"	382	26
"Aggregatibacter_aphrophilus"	"BMI"	"BMI"	"BMI"	-0.70692700467591	-0.0678371329290489	0.240731252954594	0.234593541241968	1	0.414152952891489	0.999999999999999	NA	"abundance"	382	5
"Aggregatibacter_aphrophilus"	"Reads"	"Reads"	"Reads"	-0.368339576098735	-0.21119275545582	1.47498182879039	0.932436377058836	1	0.81241321953896	0.999999999999999	NA	"abundance"	382	5
"Aggregatibacter_segnis"	"BMI"	"BMI"	"BMI"	0.650537141730262	-0.0678371329290489	0.483058153983237	0.183037080452004	1	0.332571588083615	0.999999999999999	NA	"abundance"	382	14
"Aggregatibacter_segnis"	"Reads"	"Reads"	"Reads"	-0.759126658788162	-0.21119275545582	0.355250203773864	0.168725579148874	1	0.308982837238626	0.999999999999999	NA	"abundance"	382	14
"Akkermansia_massiliensis"	"BMI"	"BMI"	"BMI"	-0.423779236635546	-0.0678371329290489	0.328258593584519	0.291805745972641	1	0.498460898562632	0.999999999999999	NA	"abundance"	382	50
"Akkermansia_massiliensis"	"Reads"	"Reads"	"Reads"	-0.155413584709046	-0.21119275545582	0.393125229321779	0.888359248343057	1	0.793603561008342	0.999999999999999	NA	"abundance"	382	50
"Akkermansia_muciniphila"	"BMI"	"BMI"	"BMI"	-0.22434449260937	-0.0678371329290489	0.460338288176948	0.736195603792017	1	0.123806121402795	0.999999999999999	NA	"abundance"	382	124
"Akkermansia_muciniphila"	"Reads"	"Reads"	"Reads"	-0.343774819987692	-0.21119275545582	0.301315603191682	0.662944655179917	1	0.565987064239312	0.999999999999999	NA	"abundance"	382	124
"Akkermansia_sp_N21116"	"BMI"	"BMI"	"BMI"	0.23036280930459	-0.0678371329290489	2.00322880841623	0.884653150243347	1	0.94863699138865	0.999999999999999	NA	"abundance"	382	15
