Sample	RawReads	TrimmedReads	TrimmedSingles	FilteredReads	FilteredSingles	Basic Statistics	Per base sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
ERR2017411	35707838	32935920	1114911	32926244	1114682	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017600	52311922	48811628	1423628	48768478	1422915	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017679	65270422	64289876	473779	64255572	473627	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017598	52604042	49057598	1462214	49024916	1461664	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017796	53585704	51233770	0	51218412	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017697	56274156	50037006	2315928	49886876	2309974	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017778	50249708	48602360	0	48591210	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017499	71312120	67870928	0	67853016	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017420	43667592	31463004	5390996	31444458	5390013	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017518	61537786	56050202	2096572	56030912	2096203	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017437	43115164	30678816	5494373	30668922	5493671	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017752	54081628	51645300	0	51621690	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017590	60045134	54314446	2188420	54291098	2187786	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017671	63167688	54411942	3219820	54353782	3218010	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017716	74242852	66642962	2901416	66609284	2900523	PASS	PASS	PASS	WARN	WARN	PASS	WARN	WARN	PASS	PASS
ERR2017554	58888064	52728752	2293872	52705310	2293313	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017473	62265704	59494128	0	59481584	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017635	50050010	47813976	912254	47759904	911624	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017536	62047866	52691770	3402588	52665744	3401537	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017455	50765830	44885566	2309449	44864402	2308752	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017617	43785940	41657018	897586	41552940	895937	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017770	60652894	57670334	0	57656818	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017734	78477148	64646408	5528986	64620146	5527784	PASS	PASS	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS
ERR2017572	43600696	38188050	2140096	38160112	2139181	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017491	70061028	64582282	2102539	64556936	2102019	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017815	57956468	48591216	3399627	48337356	3389771	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017653	42829794	37575378	1927524	37557388	1926996	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017419	29152234	26551234	1061924	26541126	1061655	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017527	77079862	71670164	2127202	71643344	2126659	PASS	PASS	PASS	PASS	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017608	37891126	32209754	2611026	32194086	2610317	PASS	WARN	PASS	WARN	PASS	FAIL	WARN	PASS	PASS	PASS
ERR2017446	32368284	29989596	1000314	29979342	1000103	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017761	52124708	49369166	0	49332410	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017680	54850444	50169392	1824166	50144812	1823647	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017563	32694406	30874480	757777	30862624	757614	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017725	49004662	44756520	1648865	44720364	1647880	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017644	38485662	36574906	773805	36525074	773216	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017806	48643058	46407408	0	46380346	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017482	58650530	56040102	0	56029244	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017545	65994376	60577034	2292150	60521346	2290776	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017707	59254142	52952052	2448143	52936634	2447695	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017626	62753272	53551486	3338106	53527536	3337285	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017464	54177600	46363344	2936604	46347332	2936036	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017581	61662136	53418690	3065695	53395496	3065003	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017743	56030774	49148362	2782713	49048844	2779826	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017662	58764994	55362370	1346455	55317222	1345789	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017428	44635416	33176150	5000667	33163290	4999821	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017433	27478242	20914224	2917076	20904324	2916455	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017514	57396664	54703358	0	54690160	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017631	62162858	58268642	1659607	58231230	1658623	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017550	57189682	50674474	2443667	50644752	2442865	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017712	58619220	52453956	2380213	52434610	2379661	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017451	46494618	40750846	2448410	40731114	2447644	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
